SRA ID,Actual MIC
ERR2091319,0.25
ERR3808914,6
ERR3808916,6
ERR2091334,8
ERR2091361,8.0
ERR3808883,6
ERR3808897,26
ERR2091339,0.03
ERR2091332,0.015
ERR3808913,6
ERR3808887,15
ERR3808881,20
ERR2091422,0.03
ERR2091353,0.06
ERR3808906,21
ERR2091363,32
ERR2091350,1024.0
ERR2931025,8
ERR2931033,64
ERR2931032,1
ERR3808914,24
ERR3808928,6
ERR2091397,0.5
ERR3808867,7
ERR2091347,8
ERR2091344,0.5
ERR3808876,6
ERR2091319,8.0
ERR2091318,8
ERR2091408,64.0
ERR2091406,2
ERR3808918,37
ERR3808911,6
ERR2931009,16
ERR3808878,6
ERR2091320,0.03
ERR2091356,64
ERR2091418,0.25
ERR2091333,64.0
ERR2091419,16
ERR2091308,0.015
ERR2091353,0.25
ERR2091410,8.0
ERR2091397,1.0
ERR2091426,16
ERR3808898,30
ERR2091421,0.25
ERR2091337,1.0
ERR2091360,2
ERR2091339,2
ERR2091334,64
ERR3808872,20
ERR2091309,16
ERR3808888,7
ERR2091326,8
ERR3808899,21
ERR2091320,4
ERR2091364,8.0
ERR2091319,64.0
ERR2091351,4
ERR2091425,2
ERR3808924,33
ERR2091341,0.25
ERR3808878,6
ERR2091321,64
ERR2091419,0.25
ERR2091314,0.25
ERR2931028,64
ERR3808869,21
ERR2091322,2
ERR2091344,8
ERR2091357,0.25
ERR2091343,0.25
ERR2091353,0.25
ERR3808888,16
ERR3808866,15
ERR2091317,8.0
ERR3808878,6
ERR3808883,6
ERR3808888,11
ERR3808895,23
ERR3808926,24
ERR3808884,21
ERR2091322,0.03
ERR2091343,64.0
ERR2091306,8.0
ERR2091415,0.125
ERR3808881,6
ERR2091320,0.015
ERR2091326,1024.0
ERR2091428,32
ERR2091339,1
ERR2091416,64
ERR3808868,30
ERR2091425,0.5
ERR2091341,0.03
ERR2091359,0.25
ERR2091319,0.5
ERR2091332,8
ERR3808913,8
ERR2091308,1024.0
ERR2091339,0.5
ERR2091417,4
ERR3808891,25
ERR2091410,8.0
ERR2091325,0.125
ERR2091423,64.0
ERR3808893,6
ERR3808922,20
ERR2091335,1
ERR2091397,0.25
ERR2091329,4
ERR3808924,15
ERR3808878,6
ERR2091335,0.015
ERR3808898,16
ERR2091342,16
ERR3808886,6
ERR2091327,32.0
ERR2091304,0.03
ERR3808879,24
ERR2091409,8
ERR2091335,2
ERR2091332,32.0
ERR3808882,13
ERR2091356,0.03
ERR2931021,1
ERR3808918,24
ERR2091307,8
ERR2935426,21
ERR2091334,0.015
ERR2091312,0.25
ERR2091330,16
ERR2091358,16
ERR3808888,6
ERR3808866,28
ERR3808904,23
ERR3808909,17
ERR2091324,0.03
ERR3808880,10
ERR3808922,16
ERR2091397,2
ERR3808880,29
ERR3808918,34
ERR2091306,2
ERR2091412,8.0
ERR2091402,64.0
ERR3808926,27
ERR2091416,2
ERR3808867,23
ERR2091349,8.0
ERR2091355,0.03
ERR3808882,29
ERR2091345,1.0
ERR3808879,31
ERR2091332,0.06
ERR2091327,2
ERR2091407,1024.0
ERR2091340,64
ERR3808882,25
ERR3808909,24
ERR2091361,1024.0
ERR2091400,2
ERR3808920,6
ERR3808924,24
ERR2091325,4
ERR3808895,28
ERR2091315,4.0
ERR2931024,4
ERR3808884,21
ERR2091353,0.03
ERR2091411,1
ERR2091417,64.0
ERR3808895,23
ERR2091401,0.015
ERR2091326,0.015
ERR3808925,6
ERR2091308,32.0
ERR2091304,0.25
ERR3808899,10
ERR2931032,64
ERR2091342,8
ERR2091361,1.0
ERR2091313,0.25
ERR2091330,0.015
ERR3808924,23
ERR3808903,16
ERR3808890,19
ERR2091424,0.03
ERR2091350,64.0
ERR3808870,23
ERR3808866,13
ERR3808873,29
ERR3808869,6
ERR3808885,30
ERR2931033,0.25
ERR3808894,25
ERR2091353,0.015
ERR2091344,4
ERR2931008,20
ERR2091348,64
ERR2091424,8.0
ERR2091318,0.03
ERR2091420,0.25
ERR3808877,6
ERR2091315,64.0
ERR2935426,14
ERR3808921,6
ERR2091426,8.0
ERR2931013,0.25
ERR2091427,0.015
ERR2091330,0.03
ERR2091329,1
ERR2091318,0.015
ERR2091412,4.0
ERR2091342,8
ERR3808915,18
ERR2931009,64
ERR3808875,6
ERR3808882,21
ERR3808910,22
ERR2091360,32
ERR3808922,25
ERR3808892,26
ERR2091307,1.0
ERR2091356,16
ERR3808874,29
ERR2091308,64.0
ERR3808877,6
ERR3808916,6
ERR2091339,4.0
ERR2091361,0.25
ERR3808927,6
ERR3808917,6
ERR2091355,0.25
ERR2091424,2
ERR2091405,0.25
ERR3808902,18
ERR3808871,23
ERR2091319,2
ERR3808905,31
ERR3808920,6
ERR2091397,0.5
ERR2091357,64
ERR2091401,0.5
ERR2091399,64.0
ERR2091410,64
ERR2931013,0.5
ERR2091316,0.5
ERR2091328,8.0
ERR2091357,32
ERR2091358,0.015
ERR3808899,21
ERR2091341,0.5
ERR3808896,11
ERR2091306,8
ERR3808867,18
ERR3808875,24
ERR3808886,6
ERR2091408,8
ERR3808905,22
ERR2931017,4
ERR2091398,8
ERR2091305,0.015
ERR3808923,6
ERR3808897,29
ERR3808920,19
ERR2091345,0.015
ERR2091308,1.0
ERR2931025,1
ERR3808888,19
ERR3808910,22
ERR2091424,1.0
ERR3808897,17
ERR2091355,8.0
ERR2091306,0.03
ERR2091308,0.5
ERR2091305,4.0
ERR2091407,0.06
ERR3808884,28
ERR2091346,0.015
ERR2091406,0.25
ERR2091424,0.125
ERR2091307,0.5
ERR2091317,64.0
ERR2091398,1024.0
ERR2091350,0.03
ERR2091324,0.03
ERR2091315,0.5
ERR3808891,34
ERR3808867,21
ERR3808895,25
ERR3808888,6
ERR3808884,29
ERR2091404,64.0
ERR2931024,8
ERR2931024,0.25
ERR3808913,15
ERR2091419,64
ERR2931033,1
ERR2091364,0.015
ERR2091399,64
ERR3808920,6
ERR3808895,10
ERR3808915,23
ERR2091350,0.03
ERR2091409,2
ERR2091426,4.0
ERR3808895,11
ERR2091314,8
ERR2091336,16
ERR2091307,2
ERR3808901,16
ERR3808912,6
ERR3808927,19
ERR2091350,1.0
ERR3808928,6
ERR2091348,8
ERR3808883,6
ERR2091325,0.03
ERR2091414,0.25
ERR2091399,0.125
ERR2091313,4
ERR3808910,19
ERR3808918,34
ERR2091422,64.0
ERR2091417,0.015
ERR3808925,17
ERR2935426,23
ERR3808926,24
ERR3808891,31
ERR2091346,2
ERR2091345,0.03
ERR2931002,16
ERR3808916,6
ERR2091398,2
ERR2091337,4
ERR2931024,20
ERR2091328,8
ERR2931028,0.25
ERR2091351,32.0
ERR3808895,16
ERR3808882,32
ERR2091413,0.03
ERR2091330,0.5
ERR2091404,0.125
ERR3808880,27
ERR2091413,0.25
ERR3808890,14
ERR3808899,14
ERR3808876,27
ERR2091421,8
ERR2091307,0.03
ERR3808905,29
ERR3808902,25
ERR3808898,20
ERR3808903,32
ERR2091356,1.0
ERR2091319,16
ERR2931011,0.5
ERR3808873,32
ERR2091410,32
ERR2091404,0.03
ERR2091333,0.03
ERR3808903,24
ERR2091331,0.015
ERR3808906,6
ERR3808928,33
ERR3808869,19
ERR2091428,64.0
ERR2091312,1.0
ERR3808918,10
ERR3808925,28
ERR2091429,2
ERR2091428,0.25
ERR3808881,25
ERR2091331,32.0
ERR3808868,23
ERR3808912,19
ERR2091347,128.0
ERR2091355,32
ERR2091423,64.0
ERR3808927,31
ERR2091360,64.0
ERR2091331,2
ERR2091328,8
ERR3808885,31
ERR2091322,8.0
ERR3808909,28
ERR2091325,8.0
ERR2091327,1.0
ERR3808915,26
ERR3808896,25
ERR2931011,64
ERR2091419,0.25
ERR2091330,4
ERR2091328,64
ERR2091330,1.0
ERR2091424,0.125
ERR2091358,0.25
ERR2091310,2
ERR2091310,8.0
ERR3808898,23
ERR2091316,8
ERR2091364,0.5
ERR3808920,25
ERR2091405,1.0
ERR3808882,19
ERR2091428,0.03
ERR3808918,28
ERR3808909,6
ERR2091404,2
ERR2091408,8.0
ERR3808901,6
ERR2091352,128.0
ERR2091362,0.5
ERR2931008,4
ERR2091344,32
ERR2091402,32.0
ERR2935426,25
ERR2931008,0.25
ERR3808883,17
ERR3808885,27
ERR2091352,1024.0
ERR2091307,0.015
ERR2091310,4.0
ERR2091421,1024.0
ERR2091345,16
ERR3808927,21
ERR2091344,0.015
ERR3808893,6
ERR3808923,6
ERR2091340,16
ERR2091422,64
ERR3808884,25
ERR2091336,0.015
ERR2091416,0.25
ERR3808914,26
ERR3808915,13
ERR2931009,0.5
ERR2931017,4
ERR3808917,6
ERR3808898,6
ERR2091400,2
ERR2091417,0.25
ERR3808898,26
ERR2935426,6
ERR2091318,1.0
ERR3808904,30
ERR3808887,32
ERR3808918,34
ERR3808911,6
ERR3808905,30
ERR2091343,0.015
ERR3808914,6
ERR2091333,0.03
ERR3808917,6
ERR2091335,64.0
ERR3808893,21
ERR2091338,64.0
ERR3808914,14
ERR2091341,2
ERR2091352,2
ERR3808896,8
ERR3808916,15
ERR2091337,16
ERR2091411,64.0
ERR3808927,26
ERR3808925,12
ERR2091414,2
ERR2091420,64
ERR3808914,23
ERR3808916,34
ERR2091414,64
ERR2091314,16
